yearFrom,yearTo,Building Type,BuildingSubType,Country,WallDescription,ArchetypeDescription
2006,2014,Single Family House,Semi Detached House,Netherlands,"The wall construction of semi-detached houses in the Netherlands closely follows the same technological and regulatory developments as detached houses. Differences are mainly found in structural layouts and shared party walls, rather than in external wall construction. Over time, changes in materials, prefabrication methods, and energy regulations strongly influenced wall design. 2006–2014: Refinement of multilayer construction. Construction practices during this period largely continued those established after 1992, in line with updated versions of the Bouwbesluit (including the 2012 revision). Semi-detached houses predominantly used cavity or multilayer wall systems, with further improvements in insulation quality, airtightness, and construction detailing rather than major changes in wall composition.","Semi-detached houses built between 2006 and 2014 represent 60,500 homes, representing 0.8% of the Dutch housing stock. Of these, 99% are owned by the resident, and 1% is rented.
Homes in this category often have 4 to 6 rooms spread over 3 floors.
Semi-detached houses built between 2006 and 2014 were also mostly traditionally constructed (sand-lime brick load-bearing walls and concrete floors) and, on a modest scale, timber-framed.
Original energy level: Houses from this period were well insulated. Between 2006 and 2014, the EPC requirement was tightened from 1.0 to 0.6. As a result, houses built during this period required better insulation. High-efficiency boilers were widely used for heating homes. Balanced ventilation is also being considered.
Current energy level: All homes have central heating, largely with individual heat generation (94%) and sporadic connection to district heating (third-party heat supply: 3%). The HR107 combination boiler is most common (83%), and heat pumps are increasingly being used (10%). Combination boilers (89%) and heat pumps (4%) are primarily used for hot water production.
Nearly all homes were completed with HR++ (92% of the glass surface). Single glazing (3%) or double glazing (4%) is still very limited.
All solid facades, floors, and roofs are insulated, with the insulation level at least meeting the requirements from the construction period (Rc 2.5 m²K/W).
The majority of homes are equipped with mechanical ventilation (91%). In addition, natural ventilation is hardly used anymore (1%) and balanced ventilation is on the rise (4%). All homes are equipped with airtight seals"
2015,2018,Single Family House,Semi Detached House,Netherlands,"The wall construction of semi-detached houses in the Netherlands closely follows the same technological and regulatory developments as detached houses. Differences are mainly found in structural layouts and shared party walls, rather than in external wall construction. Over time, changes in materials, prefabrication methods, and energy regulations strongly influenced wall design. 2014–2018: Optimised thermal performance. Between 2014 and 2018, no fundamental changes in wall construction typology occurred for semi-detached houses. Cavity wall and multilayer systems remained standard practice. However, higher-performance insulation materials, improved thermal conductivity values, and increased attention to thermal bridging and airtightness became standard, driven by stricter energy performance requirements and sustainability targets.","Semi-detached houses built between 2015 and 2018 represent 22,000 homes, representing 0.3% of the Dutch housing stock. Of these, 79% are owned by the residents, and 21% are rented.
Homes in this category often have 4 to 6 rooms spread over 3 to 5 floors.
The quality and luxury of these homes have increased significantly during this period. Heating costs for these homes are low. Furthermore, they are built with low-maintenance building materials. The architecture and construction methods vary widely, from 1930s styles (brick and overhanging pitched roofs) to ultra-modern (extensive glass, metal, and flat roofs). Traditional architecture predominates relatively speaking.
Original energy level: As of April 1, 2012, the Building Decree increased the minimum Rc value (thermal resistance) of floors, facades, and roofs of new buildings from 2.5 to 3.5 m².K/W.
Subsequently, on March 1, 2013, the maximum U-value of windows was tightened from 2.2 to 1.65 W/m².K. As of January 1, 2015, the minimum Rc value was further tightened to 3.5 for floors, 4.5 for facades, and 6.0 for roofs. This means that homes built between 2015 and 2018 will see a significant increase in insulation.
Solar panels are also sometimes installed during construction. With the introduction of BENG (Netherlands Energy Efficiency Directive), it is mandatory to equip new homes with a sustainable energy generation system. As of July 1, 2018, natural gas-free construction is the standard. Current energy level: All homes have central heating with individual heat generation. The HR107 combination boiler provides both space heating and hot water.
Almost all homes were fitted with HR+ glass or better upon completion. The majority consist of HR++ glass (65%), with relatively small areas of HR+ (21%) and triple glazing (14%).
All solid facade sections are insulated, with an insulation level that at least meets the requirements of the construction period.
All homes are equipped with mechanical ventilation and airtight sealing. General"
1900,1946,Terrace House,Terrace House,Netherlands,"Terracehouses between 1900–1946 are made out of Solid Masonry and show no Insulation. Terrace houses from this period feature load-bearing brick masonry walls, typically 20 cm to 30 cm thick, constructed entirely of solid clay brick. These walls provided structural support and are weather resistance but offered with no thermal insulation. Construction was labor-intensive and relied on traditional craftsmanship, with minimal standardization. Many of these homes still stand today, often requiring retrofitting for modern energy performance.
","The pre-war terraced houses (between) represent 333,500 homes, 4.5% of the Dutch housing stock. The majority, namely 73%, are owned by the resident and 27% are rented out. The homes in this category often have 3 to 5 rooms, divided over 2 or 3 floors. The homes in this category are traditionally built and have a wooden ground floor. Original energy level During this construction period, no requirements were yet set for the energy efficiency of homes. The homes were therefore not insulated. Cavity walls were not used until around 1930. The homes often had steel frames and soft wooden frames. Many homes were equipped with local gas heaters, electric boilers and natural ventilation at that time. Central heating was used on a limited scale. Current energy level Some of these homes have been improved in terms of energy over the years. All homes now have central heating with individual heat generation. The HR107 combination boiler is the most common (94%). A small number of homes have another boiler (CR 2%, VR 2%) or a local gas or oil heater (1%). In addition to combination boilers, electric boilers (2%), gas bath and kitchen geysers (3%) are also used to prepare hot tap water. With post-insulation, the emphasis is on installing double glazing (59% of the glass surface) and HR++ glass (16%). A considerable number of homes are also equipped with single glazing (16%). Post-insulation of the closed parts lags far behind. Of the solid facade parts, 30% is insulated, of the floor area 30%, of the sloping roof 71% and of the flat roof 50%. The majority of the homes are equipped with natural ventilation (89%). The remaining part has mechanical extraction (11%). Some of the homes are equipped with draught-proofing."
1946,1964,Terrace House,Terrace House,Netherlands,"Terracehouses between 1946–1964 often have Cavity Walls with Lightweight Brick, Post-war reconstruction led to the adoption of cavity wall construction. The typical wall consisted of an inner wall leaf of 5 cm solid brick (load-bearing), a 5 cm cavity (unfilled, no insulation), an outer leaf of lightweight brick (approx. 5 cm). This system improved moisture resistance and reduced material use, but still lacked insulation. The Model Bouw Verordening (MBV) of 1965 would later formalise many of these practices.","The terraced houses (between) that were built in the period from 1946 to 1964, represent 235,500 homes, 3.2% of the Dutch housing stock. About half of these are owned by the resident (52%). The other half are rented out (48%). The homes in this category often have 4 to 5 rooms, divided over 3 floors. Due to the housing shortage after the war, the construction industry made a major switch from traditional construction to more industrial construction in this period. The emphasis was on a more efficient construction process in order to be able to realize the large amount of new construction. One aspect of this efficiency improvement is the rise of 'system construction'. It is striking in this construction period that the use of wooden floors is decreasing. Original energy level In the period up to 1965, no requirements were yet set for the energy efficiency of homes. The homes were therefore not insulated. Houses built before 1960 often had steel window frames with single glazing. Many homes were equipped with local gas heaters, electric boilers and natural ventilation at that time. Central heating was used on a limited scale. Current energy level Some of these homes have been improved in terms of energy over the years. Almost all homes now have central heating with individual heat generation. The HR107 combination boiler is the most common (94%). A limited number of homes have a different boiler (CR 1%, VR 1%) or are still heated locally (4%). In addition to combination boilers, gas kitchen geysers (5%) are also used for the preparation of hot tap water. With post-insulation, the emphasis is on installing double glazing (54% of the glass surface) and HR++ glass (23%). A significant number of homes are still equipped with single glazing (16%).  Post-insulation of the closed parts lags far behind. Of the solid facade parts, 38% is insulated, of the floor surface 15%, of the sloping roof 52% and of the flat roof 32%. The majority of the homes are equipped with natural ventilation (89%). The remaining part has mechanical extraction (11%). Some of the homes are equipped with draught-proofing."
1965,1974,Terrace House,Terrace House,Netherlands,"Terracehouses between 1965–1974 introduce multil-layer facades and steel frames. Following the 1965 Model Bouw Verordening (1965 construction permit), terrace houses began incorporating multi-layer facade systems: Load-bearing steel frames (8 cm), Low-level insulation (7 cm, often mineral wool), precast concrete facade plates (8 cm), occasionally, sand-lime brick for the outer layer. This marked experience a shift toward industrialised construction methods, enabling faster building and improved structural performance — though thermal performance remained modest.","The terraced houses (between) that were built in the period from 1965 to 1974, represent 407,000 homes, 5.4% of the Dutch housing stock. Of these, 61% are owned by the resident and 39% are rented out. The homes in this category often have 4 to 5 rooms, divided over 3 floors. A characteristic of this construction period is that system construction is increasingly used. This is particularly visible in the floors, which are made of concrete, and the window frame fillings with sandwich panels. Original energy level Since 1965, requirements have been set for the energy quality of homes. However, the homes were not very well insulated according to current new construction standards. Double glazing was hardly used. Many homes were still equipped with local gas heaters at that time, with central heating on the rise. Current energy level Some of these homes have been improved in terms of energy over the years. All homes have central heating with individual heat generation. The HR107 combination boiler is the most common (95%). A limited number of homes have a different boiler (CR 1%, VR 2%) or are still heated locally (1%). Combination boilers are almost exclusively used for the preparation of hot tap water. With post-insulation, the emphasis is on installing double glazing (56% of the glass surface) and increasingly HR++ glass (29%).  Post-insulation of the closed parts lags behind. 65% of the closed facade parts are insulated, 38% of the floor surface, 69% of the sloping roof and 32% of the flat roof. Most of the homes have natural ventilation (73%). The remaining part has mechanical extraction (27%). Some of the homes have draught-proofing."
1975,1991,Terrace House,Terrace House,Netherlands,"Terracehouses between 1975 - 1991 are often constructed as prefabricated Concrete Facades. Wall construction remained largely similar to the 1965–74 period, but the outer facade layer increasingly used prefabricated concrete panels or cast-in-place concrete. Outside layers also use sand lime brick. The inner structure (steel frames, insulation, and load-bearing elements) stayed consistent. This era emphasised durability and standardisation, with energy efficiency still secondary to structural and cost considerations.","The terraced houses (between) that were built in the period from 1975 to 1991, represent 573,000 homes, 7.7% of the Dutch housing stock. Of these, 70% are owned by the resident and 30% are rented out. The homes that fall into this category often have 4 to 5 rooms, divided over 3 floors. A characteristic of this construction period is that system construction continues to develop. This mainly concerns walls and facades that are made of prefabricated concrete or cast construction. New in this period are concrete floors with insulation. System construction continues to develop through the introduction of prefabricated concrete facades and system roofs.  The requirements for the energy quality of new-build homes were increased in 1975 (Rc 1.3 m2K/W for roof and solid facade), in 1979 (double glazing living room), in 1983 (Rc 1.3 m2K/W ground floor) and in 1988 (Rc 2.0 m2K/W for roof and solid facade). The homes from the first part of this period in particular were not very well insulated according to current new-build standards. It was striking in this construction period that the energy requirements of homes in the social rental sector were higher than those of other homes. For example, social housing had to be rental properties in the living areas have been fitted with double glazing since 1975. Nevertheless, double glazing was widely used in all properties. In addition, in many properties, the floor was better insulated than required. Central heating with a VR boiler was widely used. Current energy level All properties have central heating with mainly individual heat generation (93%) and connection to district heating (7%). The HR107 combination boiler is the most common (88%). A small proportion of the properties have a VR boiler (3%) or are connected to district heating (heat supply by third parties 7%). In addition to combination boilers, virtually no other appliances such as electric boilers, gas boilers or kitchen geysers are used to prepare hot tap water. The majority of the homes are equipped with mechanical ventilation (57%). In addition, natural ventilation is mainly used (41%) and limited balanced ventilation (2%). All homes are equipped with draught-proofing. Some of the properties have been fitted with double glazing since they were completed. This part of the glass surface is mainly replaced by HR++ glass in the event of renovations. The share of double glazing is large (64% of the glass surface). A considerable part of the glass surface of these homes is already HR++ glass (21%). The share of single glazing is 8%.  Almost all closed facade parts, floors and roofs are insulated, but in most cases the insulation level is not very high."
1992,2005,Terrace House,Terrace House,Netherlands,"Terracehouses between 1992–2005 have improved Insulation under Bouwbesluit 1992 (the building regulation from 1992). The 1992 Bouwbesluit introduced stricter energy performance requirements. Typical external wall systems included 7 cm load-bearing brick layer (or concrete plates), 7 cm medium insulation (glass wool or mineral fibers) and 7 cm sand-lime brick facade. This era saw a clear move toward better thermal performance, with insulation becoming a significant component in the design process rather than an afterthought. Concrete load-bearing elements became more common, reflecting broader trends in industrialised construction.","The terraced houses (between) that were built in the period from 1992 to 2005, represent 262,000 homes, 3.5% of the Dutch housing stock. Of these, 73% are owned by the resident and 27% are rented out. The homes that fall into this category often have 4 to 5 rooms, divided over 3 floors. During this period, many terraced houses were built with sand-lime bricks. In addition, cast construction is taking off and there is less interest in prefabricated construction with prefabricated concrete elements. Original energy level The homes from this period are well insulated. In 1992, the insulation requirements were increased, which made double glazing and insulation of the facade, floor and roof (Rc 2.5 m2K/W) commonplace. Central heating with a VR boiler was used to heat the home. Current energy level All homes have central heating with individual heat generation (83%) or a connection to district heating (17%). In addition to district heating (heat supply from third parties), almost only HR107 combination boilers are used (81%). In addition to combination boilers and district heating, almost no other appliances such as electric boilers, gas boilers or kitchen geysers are used to prepare hot tap water. All homes were fitted with double glazing (39% of the glass surface) or HR++ glass (43%) upon completion. Furthermore, HR (7%) and HR+ glass (11%) were used. Single glazing is no longer used. All closed facade parts, floors and roofs are insulated, with an insulation level that at least meets current requirements (Rc 2.5 m2K/W). The majority of homes are fitted with mechanical ventilation (84%). In addition, balanced ventilation is on the rise (14%) and natural ventilation is still used in some homes. All homes are fitted with draught-proofing"
2006,2014,Terrace House,Terrace House,Netherlands,"Terracehouses between 2006–2014 are High-Performance Systems under Bouwbesluit 2012 (building permit regulation 2012). By this period, wall construction was fully aligned with modern energy standards. Common configurations included cast concrete or steel frames as load-bearing elements, high-performance insulation (typically EPS — expanded polystyrene), and multi-layer systems optimised for thermal and acoustic performance. The Bouwbesluit 2012 (building permit regulation 2012) reinforced the need for energy efficiency, leading to thicker insulation layers and more sophisticated material combinations.  Steel frames returned as a viable structural solution, especially in larger or more complex developments. Typically, the load-bearing layer is made out of cast concrete with 10 cm to 15 cm thickness, the insulation layer has a thickness between 5 cm and 8 cm, the facade is still commonly made out of brick, such as sand-lime brick and has a standard measure of 5 cm thickness. ","Terraced houses (or terraced houses) built between 2006 and 2014 represent 129,000 homes, representing 1.7% of the Dutch housing stock. Of these, 75% are owned by the resident and 25% are rented. Homes in this category often have 4 to 5 rooms, spread over 2 or 3 floors. Compared to previous years, more concrete is being used instead of sand-lime brick. Increased sound insulation requirements play a significant role in this. Original energy level: Homes from this period were well insulated. Between 2006 and 2014, the EPC requirement was tightened from 1.0 to 0.6. As a result, homes were even better insulated during this period. High-efficiency boilers were widely used for heating. Balanced ventilation also received increased attention. Current energy level: All homes have central heating. This is usually achieved through individual heat generation using an HR107 boiler (73%), and increasingly, through a connection to the district heating system (17%). Electric heat pumps (8%) are also used for space heating and hot water. No other appliances, such as electric boilers, gas boilers, or kitchen water heaters, are used for hot water production. Almost all homes were fitted with high-efficiency glass or better upon completion (HR 2%, HR+ 4%, and HR++ 92% of the glass surface). Double glazing is used to a very limited extent (2%).
All solid facades, floors, and roofs are insulated, with the insulation level at least meeting the requirements from the construction period (Rc 2.5 m²K/W). The majority of homes are equipped with mechanical ventilation (87%), or mechanical ventilation with heat recovery and CO2 control (4%). Balanced ventilation is also becoming increasingly popular (9%), and natural ventilation is not used. All homes are fitted with airtight seals."
2015,2018,Terrace House,Terrace House,Netherlands,"Terracehouses between 2015-2018 are also High-Performance Systems under Bouwbesluit 2012 (building permit regulation 2012). By this period, wall construction was fully aligned with modern energy standards. Common configurations included cast concrete or steel frames as load-bearing elements, high-performance insulation (typically EPS — expanded polystyrene), and multi-layer systems optimised for thermal and acoustic performance. The Bouwbesluit 2012 (building permit regulation 2012) reinforced the need for energy efficiency, leading to thicker insulation layers and more sophisticated material combinations. Steel frames returned as a viable structural solution, especially in larger or more complex developments. Typically, the load-bearing layer is made out of cast concrete with 10 cm to 15 cm thickness, the insulation layer has a thickness between 5 cm and 8 cm, the facade is still commonly made out of brick, such as sand-lime brick and has a standard measure of 5 cm thickness. ","The terraced houses (terraced) built between 2015 and 2018, representing 43,500 homes, represent 0.6% of the Dutch housing stock. Of these, 65% are owned by the resident and 35% are rented. Homes in this category often have 4 to 5 rooms spread over 3 floors. Due to increasingly stringent sound insulation requirements, more concrete is being used in construction. Furthermore, there is a further shift from poured construction to prefabricated construction. Original energy level: As of April 1, 2012, the Building Decree increased the minimum Rc value (thermal resistance) of floors, facades, and roofs of new buildings from 2.5 to 3.5 m².K/W. Subsequently, on March 1, 2013, the maximum U-value of windows was tightened from 2.2 to 1.65 W/m².K. As of January 1, 2015, the minimum Rc value has been further tightened to 3.5 for floors, 4.5 for facades and 6.0 for roofs. This means that homes built between 2015 and 2018 have seen a significant improvement in insulation levels. Solar panels are also sometimes installed during construction. With the introduction of BENG (Netherlands Energy Efficiency Directive), it is mandatory to equip new homes with a sustainable energy generation system. Natural gas-free construction became the standard as of July 1, 2018. Current energy level: Many homes have central heating with individual heat generation (88%) and increasingly, connections to district heating (12%). In addition to third-party heat supply (12%) and the HR107 combination boiler (83%), heat pumps are used for space heating and hot water. No other appliances such as electric boilers, gas boilers, or kitchen water heaters are used for hot water production. Almost all homes were fitted with HR++ glass or better upon completion (HR++ 92%, triple glazing 6% of the glass surface). Double glazing was used to a very limited extent (2%). All solid facades, floors, and roofs are insulated, with the insulation level meeting at least the requirements from the construction period. The majority of the homes are equipped with mechanical ventilation (82%). Balanced ventilation is also becoming increasingly popular (18%), and natural ventilation is not used. All homes are fitted with airtight seals."
1900,1946,Terrace House,Terrace House Corner,Netherlands,"Terracehouses between 1900–1946 are made out of Solid Masonry and show no Insulation. Terrace houses from this period feature load-bearing brick masonry walls, typically 20 cm to 30 cm thick, constructed entirely of solid clay brick. These walls provided structural support and are weather resistance but offered with no thermal insulation. Construction was labor-intensive and relied on traditional craftsmanship, with minimal standardization. Many of these homes still stand today, often requiring retrofitting for modern energy performance.
","Pre-war terraced houses (corner houses) represent 125,000 homes, representing 1.7% of the Dutch housing stock. The majority (84%) are owned by the residents, and 16% are rented. Homes in this category often have 3 to 5 rooms, spread over 2 or 3 floors. Homes in this category are traditionally built and have a wooden ground floor. Original Energy Level: During this construction period, no energy efficiency requirements were set for homes. Therefore, the homes were not insulated. Cavity walls were not used until around 1930. Steel and softwood frames with single glazing were often used in these homes. Many homes at that time were equipped with local gas heaters, electric boilers, and natural ventilation. Central heating was used on a limited scale. Current Energy Level: Some of these homes have been improved over the years. All homes now have central heating with individual heat generation. The HR107 combination boiler is by far the most common (94%). A small percentage of homes have a VR boiler (2%) or heat pump (3%). Combination boilers (96%) and heat pumps (3%) are primarily used for hot water production. When it comes to retrofitting insulation, the focus is on installing double glazing (44% of the glass surface) and HR++ glass (19%). A significant number of homes are also still equipped with single glazing (28%). Retrofitting insulation of solid sections lags far behind. 50% of the solid facade sections are insulated, 31% of the floor area, 65% of the pitched roof, and 44% of the flat roof. The majority of homes have natural ventilation (89%). The remainder have mechanical ventilation (11%). Some homes are equipped with airtight seals."
1946,1964,Terrace House,Terrace House Corner,Netherlands,"Terracehouses between 1946–1964 often have Cavity Walls with Lightweight Brick, Post-war reconstruction led to the adoption of cavity wall construction. The typical wall consisted of an inner wall leaf of 5 cm solid brick (load-bearing), a 5 cm cavity (unfilled, no insulation), an outer leaf of lightweight brick (approx. 5 cm). This system improved moisture resistance and reduced material use, but still lacked insulation. The Model Bouw Verordening (MBV) of 1965 would later formalise many of these practices.","The terraced houses (corner) built between 1946 and 1964 represent 136,500 units, representing 1.8% of the Dutch housing stock. Approximately half of these are owned by the resident (55%). The other half are rented (45%). The houses in this category often have four to five rooms, spread over two or three floors. Due to the post-war housing shortage, the construction industry made a major shift from traditional construction to more industrial construction during this period. The emphasis was on a more efficient construction process to accommodate the large volume of new construction. One aspect of this efficiency improvement is the rise of prefabricated construction. A notable development during this construction period is the decline in the use of wooden floors. Original Energy Level: In the period leading up to 1965, no energy efficiency requirements were imposed on homes. Therefore, homes were not insulated. Homes built before 1960 often had steel window frames with single glazing. Many homes were equipped with local gas heaters, electric boilers, and natural ventilation at that time. Central heating was used on a limited scale. Current Energy Level: Some of these homes have been improved in terms of energy efficiency over the years. All homes now have central heating with individual heat generation. The HR107 combination boiler is the most common (93%). A limited number of homes have a VR boiler (5%). In addition to combination boilers, gas water heaters (5%) are also used for hot water production. When retrofitting insulation, the focus is on installing double glazing (44% of the glass surface) and HR++ glass (31%). Some homes still have single glazing (10%). Post-insulation of the solid sections lags far behind. Of the solid facade sections, 57% is insulated, 28% of the floor area, 64% of the pitched roof, and 38% of the flat roof. Most of the homes have natural ventilation (90%). The remainder have mechanical ventilation (10%). Some of the homes are fitted with airtight sealing."
1965,1974,Terrace House,Terrace House Corner,Netherlands,"Terracehouses between 1965–1974 introduce multilLayer facades and steel frames. Following the 1965 Model Bouw Verordening (1965 construction permit), terrace houses began incorporating multi-layer facade systems: Load-bearing steel frames (8 cm), Low-level insulation (7 cm, often mineral wool), precast concrete facade plates (8 cm), occasionally, sand-lime brick for the outer layer. This marked experience a shift toward industrialised construction methods, enabling faster building and improved structural performance — though thermal performance remained modest.","The terraced houses (corner) built between 1965 and 1974 represent 251,000 homes, representing 3.4% of the Dutch housing stock. Of these, 52% are owned by the resident and 48% are rented. Homes in this category often have 4 to 5 rooms, spread over 2 or 3 floors.
A characteristic of this construction period is the increasing use of prefabricated construction. This is particularly evident in the concrete floors and the sandwich panel window frames. Original energy level: Since 1965, requirements have been imposed on the energy quality of homes. However, by current new construction standards, these homes were not very well insulated. Double glazing was rarely used at the time. Many homes were still equipped with local gas heaters at that time, while central heating was on the rise.
Current energy level: Some of these homes have improved their energy efficiency over the years. All homes have central heating with individual heat generation. Almost all homes use the HR107 combination boiler (99%). Only 1% use a VR boiler. Combination boilers are almost exclusively used for hot water production; only 1% use an electric boiler. When it comes to retrofitting insulation, the focus is on installing double glazing (49% of the glass surface) and increasingly HR++ glass (31%). A small number of homes have single glazing (7%), HR glass (8%), or HR+ glass (7%). Retrofitting insulation of the solid sections lags behind. 69% of the solid facade sections are insulated, 42% of the floor area, 69% of the pitched roof, and 31% of the flat roof. The majority of homes have natural ventilation (69%) or mechanical exhaust ventilation (29%). Some homes are equipped with airtight seals."
1975,1991,Terrace House,Terrace House Corner,Netherlands,"Terracehouses between 1975 - 1991 are often constructed as prefabricated Concrete Facades. Wall construction remained largely similar to the 1965–74 period, but the outer facade layer increasingly used prefabricated concrete panels or cast-in-place concrete. The inner structure (steel frames, insulation, and load-bearing elements) stayed consistent. This era emphasised durability and standardisation, with energy efficiency still secondary to structural and cost considerations.","The terraced houses (corner) built between 1975 and 1991 represent 362,000 units, representing 4.8% of the Dutch housing stock. Of these, 61% are owned by the resident and 39% are rented. Homes in this category often have 4 to 5 rooms, spread over 2 or 3 floors. A characteristic of this construction period is the continued development of prefabricated construction. This is particularly evident in walls and facades made of prefabricated concrete or cast construction. Concrete floors with insulation were a new development during this period. Prefabricated construction further developed with the introduction of prefabricated concrete facades and system roofs. Original energy level: The energy quality requirements for new-build homes were increased in 1975 (Rc 1.3 m²K/W for roof and solid facade), in 1979 (double glazing in living areas), in 1983 (Rc 1.3 m²K/W ground floor), and in 1988 (Rc 2.0 m²K/W for roof and solid facade). Houses from the first part of this period, in particular, were not very well insulated by current new-build standards. Notably, during this construction period, the energy requirements for social housing were higher than those of other housing types. For example, social housing units were required to have double glazing in the living areas since 1975. Nevertheless, double glazing was widely used in all units. Furthermore, in many units, the floor insulation was better than required. Central heating with a VR boiler was widely used. Current energy level: All units have central heating, primarily with individual heat generation (89%) and a connection to district heating (11%). The HR107 combination boiler is the most common (83%). A small percentage of units have VR boilers (3%) or are connected to district heating (third-party heat supply: 11%). Besides district heating and combination boilers, virtually no other appliances, such as electric boilers, gas boilers, or kitchen water heaters, are used for hot water production. Some of the homes have been fitted with double glazing since completion. Double glazing is a significant component (60% of the glass surface). A significant portion of the glass surface in these homes is now HR++ glass (26%). Single glazing accounts for 5%. Nearly all solid facades and roofs are insulated, although the insulation level is generally not very high. Floors are 78% insulated. The majority of homes have mechanical ventilation (55%). Natural ventilation (43%) and limited balanced ventilation (3%) are also used. All homes are sealed with airtight seals.
A"
1992,2005,Terrace House,Terrace House Corner,Netherlands,"Terracehouses between 1992–2005 have improved Insulation under Bouwbesluit 1992 (the building regulation from 1992). The 1992 Bouwbesluit introduced stricter energy performance requirements. Typical external wall systems included 7 cm load-bearing brick layer (or concrete plates), 7 cm medium insulation (glass wool or mineral fibers) and 7 cm sand-lime brick facade. This era saw a clear move toward better thermal performance, with insulation becoming a significant component in the design process rather than an afterthought. Concrete load-bearing elements became more common, reflecting broader trends in industrialised construction.","The terraced houses (corner) built between 1992 and 2005, representing 118,500 homes, represent 1.6% of the Dutch housing stock. Of these, 83% are owned by the resident and 17% are rented. Homes in this category often have 4 to 5 rooms, spread over 2 or 3 floors. During this period, many terraced houses were built with sand-lime brick. In addition, cast construction is gaining popularity, and there is less interest in prefabricated construction with precast concrete elements. Original energy level: The homes from this period are well insulated. In 1992, insulation requirements were raised, making double glazing and insulation of the facade, floor, and roof (Rc 2.5 m²K/W) became commonplace. Central heating with a VR boiler was used to heat the homes. Current energy level: All homes have central heating with individual heat generation (94%) or a connection to district heating (6%). In addition to district heating (third-party heat supply: 6%), only HR107 combination boilers are used (94%) for both space heating and hot water production. Upon completion, all homes were fitted with at least double glazing (47% of the glass surface), so single glazing is no longer present. Furthermore, HR (13%), HR+ (8%), or HR++ (31%) glass was used. All solid facades, floors, and roofs are insulated, with an insulation level that meets at least current requirements (Rc 2.5 m²K/W). The majority of homes are equipped with mechanical ventilation (82%). In addition, some homes have natural ventilation (15%) and limited balanced ventilation (3%). All homes are equipped with airtight sealing."
2006,2014,Terrace House,Terrace House Corner,Netherlands,"Terracehouses between 2006–2014 are High-Performance Systems under Bouwbesluit 2012 (building permit regulation 2012). By this period, wall construction was fully aligned with modern energy standards. Common configurations included cast concrete or steel frames as load-bearing elements, high-performance insulation (typically EPS — expanded polystyrene), and multi-layer systems optimised for thermal and acoustic performance. The Bouwbesluit 2012 (building permit regulation 2012) reinforced the need for energy efficiency, leading to thicker insulation layers and more sophisticated material combinations.  Steel frames returned as a viable structural solution, especially in larger or more complex developments. Typically, the load-bearing layer is made out of cast concrete with 10 cm to 15 cm thickness, the insulation layer has a thickness between 5 cm and 8 cm, the facade is still commonly made out of brick, such as sand-lime brick and has a standard measure of 5 cm thickness. ","The terraced houses (corner) built between 2006 and 2014, representing 56,500 homes, represent 0.8% of the Dutch housing stock. Of these, 73% are owned by the resident and 27% are rented. Homes in this category often have 4 to 5 rooms spread over 3 floors. Compared to previous years, more concrete is being used instead of sand-lime brick. Increased sound insulation requirements play a significant role in this. Original energy level: Homes from this period were well insulated. Between 2006 and 2014, the EPC requirement was tightened from 1.0 to 0.6. As a result, homes were even better insulated during this period. High-efficiency boilers were widely used for heating. Balanced ventilation also received attention. Current energy level: All homes have central heating with individual heat generation (78%) and are increasingly connected to district heating (22%). In addition to third-party heat supply (22%) and the HR107 combination boiler (58%), heat pumps are used for space heating and hot water. No other appliances, such as electric boilers, gas boilers, or kitchen water heaters, are used for hot water production. Almost all homes were fitted with HR++ glass upon completion (97% of the glass surface). Double glazing is used to a very limited extent (3%). All solid facades, floors, and roofs are insulated, with the insulation level meeting at least the requirements from the construction period (Rc 2.5 m²K/W). Almost all homes have mechanical ventilation (98%). In addition, balanced ventilation is used to a limited extent (2%), and natural ventilation is no longer used. All homes are fitted with airtight seals."
